Job Result,Job Creation Time,Job Completion Times,Product Name,Cores,Storage (GB)
FAILURE,6/28/2019 3:31,6/28/2019 4:21,Product 3,6,40
FAILURE,6/28/2019 2:36,6/28/2019 2:46,Product 3,6,40
FAILURE,6/28/2019 2:19,6/28/2019 2:29,Product 3,6,40
FAILURE,6/28/2019 2:19,6/28/2019 2:29,Product 3,6,40
FAILURE,6/28/2019 2:19,6/28/2019 3:08,Product 3,6,40
FAILURE,6/28/2019 2:10,6/28/2019 2:59,Product 3,6,40
FAILURE,6/27/2019 22:17,6/27/2019 23:45,Product 3,6,40
SUCCESS,6/27/2019 21:01,6/27/2019 21:40,Product 2,16,960
FAILURE,6/27/2019 16:25,6/27/2019 16:28,Product 3,6,40
SUCCESS,6/27/2019 16:01,6/27/2019 16:41,Product 2,16,960
CANCELLED,6/27/2019 15:21,6/27/2019 15:25,Product 2,16,1920
FAILURE,6/27/2019 15:15,6/27/2019 15:19,Product 3,6,40
FAILURE,6/27/2019 14:51,6/27/2019 14:54,Product 3,6,40
CANCELLED,6/27/2019 14:07,6/27/2019 14:09,Product 5,14,960
CANCELLED,6/27/2019 14:01,6/27/2019 14:01,Product 5,14,960
CANCELLED,6/27/2019 10:45,6/27/2019 10:45,Product 5,14,960
CANCELLED,6/27/2019 5:53,6/27/2019 5:55,Product 5,14,960
CANCELLED,6/26/2019 10:39,6/26/2019 10:40,Product 5,14,960
CANCELLED,6/26/2019 9:23,6/26/2019 9:24,Product 2,16,960
